,type,country,activity,age,species_,mes,fatal,sex,especie_tiburon,index,year,age_ok
0,Boating,usa,Paddling,57,White shark,Jun,N,F,White shark,0.0,2018.0,57.0
1,Unprovoked,brazil,Swimming,18,Tiger shark,Jun,Y,M,Tiger shark,1.0,2018.0,18.0
2,Unprovoked,usa,Walking,15,"Bull shark, 6'",May,N,M,Bull shark,2.0,2018.0,15.0
3,Provoked,australia,Feeding sharks,32,Grey reef shark,May,N,M,Grey shark,3.0,2018.0,32.0
4,Invalid,england,Fishing,21,Invalid incident,May,N,M,Unspecified,4.0,2018.0,21.0
5,Unprovoked,costa rica,Scuba diving,30,Tiger shark,Apr,N,M,Tiger shark,5.0,2018.0,30.0
6,Unprovoked,australia,Surfing,60,3 m shark,Apr,N,M,Unspecified,6.0,2018.0,60.0
7,Unprovoked,maldives,Fishing,32,Tiger shark,Apr,N,M,Tiger shark,7.0,2018.0,32.0
8,Unprovoked,south africa,Paddle-skiing,33,"White shark, 2.5 m",Apr,N,M,White shark,8.0,2018.0,33.0
9,Unprovoked,south africa,Surfing,19,White shark,Apr,N,M,White shark,9.0,2018.0,19.0
10,Unprovoked,usa,Stand-Up Paddleboarding,25,"Tiger shark, 12'",Mar,N,M,Tiger shark,10.0,2018.0,25.0
11,Unprovoked,australia,Wading,10,Wobbegong shark,Mar,N,M,Unspecified,11.0,2018.0,10.0
12,Unprovoked,australia,Swimming,69,3.5 m shark,,N,M,Unspecified,12.0,2018.0,25.0
13,Unprovoked,australia,Surfing,18,1.8 m shark,,N,M,Unspecified,13.0,2018.0,18.0
14,Unprovoked,australia,Swimming,55,"Juvenile white shark,  2.7 to 3.2 m",Feb,N,F,Unspecified,14.0,2018.0,55.0
15,Unprovoked,australia,Walking,35,"Bull shark, 2 m",Feb,N,M,Bull shark,15.0,2018.0,35.0
16,Unprovoked,brazil,Surfing,20,small shark,Jan,N,M,Unspecified,16.0,2018.0,20.0
17,Unprovoked,usa,Surfing,54,Tiger shark,Dec,N,F,Tiger shark,17.0,2017.0,54.0
18,Unprovoked,usa,Spearfishing,25,"White shark, 4.6 m",Nov,N,M,White shark,18.0,2017.0,25.0
19,Unprovoked,australia,Surfing,25,2 m shark,Nov,N,M,Unspecified,19.0,2017.0,25.0
20,Unprovoked,cuba,Night bathing,22,Tiger shark,Nov,Y,M,Tiger shark,20.0,2017.0,22.0
21,Unprovoked,australia,Surfing,31,"Wobbegong shark, 1 m",Oct,N,M,Unspecified,21.0,2017.0,31.0
22,Unprovoked,australia,Kayaking / Fishing,15,"White shark, 4.5 m",Oct,N,F,White shark,22.0,2017.0,15.0
23,Unprovoked,usa,Surfing,54,"Tiger shark, 8 to 10 feet",Oct,N,M,Tiger shark,23.0,2017.0,54.0
24,Unprovoked,usa,Snorkeling,40,8' shark,Oct,N,F,Unspecified,24.0,2017.0,40.0
25,Invalid,usa,Surfing,33,Questionable,Sep,,M,Unspecified,25.0,2017.0,33.0
26,Unprovoked,usa,Surfing,18,5' to 6' shark,Sep,N,M,Unspecified,26.0,2017.0,18.0
27,Unprovoked,australia,Surfing,35,"White shark, 3 to 3.5m ",Sep,N,M,White shark,27.0,2017.0,35.0
28,Unprovoked,australia,Surfing,37,"White shark, 3 m",Aug,N,M,White shark,28.0,2017.0,37.0
29,Invalid,spain,Swimming,11,Shark involvement questionable,Aug,,F,Unspecified,29.0,2017.0,11.0
30,Unprovoked,usa,SUP,69,"White shark, 5' to 7'",Aug,N,M,White shark,30.0,2017.0,25.0
31,Unprovoked,usa,Swimming,13,Possibly a juvenile blacktip shark,Aug,N,M,Unspecified,31.0,2017.0,13.0
32,Provoked,usa,Fishing,34,4' shark,Aug,N,M,Unspecified,32.0,2017.0,34.0
33,Invalid,usa,Swimming,10,A small shark,Jul,,M,Unspecified,33.0,2017.0,10.0
34,Boating,usa,Kayaking,40,"White shark, 11' to 13'",Jul,N,M,White shark,34.0,2017.0,40.0
35,Unprovoked,usa,SUP,50,"White shark, 8' to 10'",Jul,N,M,White shark,35.0,2017.0,50.0
36,Unprovoked,usa,Swimming,46,"Bull shark, 4' to 5'",Jul,N,M,Bull shark,36.0,2017.0,46.0
37,Unprovoked,south africa,Surfing,13,"White shark, 2.5 m",Jul,N,F,White shark,37.0,2017.0,13.0
38,Unprovoked,australia,Body boarding,48,"White shark, 4 m",Jun,N,M,White shark,38.0,2017.0,48.0
39,Unprovoked,bahamas,Snorkeling,32,Tiger shark,Jun,N,F,Tiger shark,39.0,2017.0,32.0
40,Invalid,usa,Surfing,18,Shark involvement highly doubtful,May,,F,Unspecified,40.0,2017.0,18.0
41,Unprovoked,australia,Surfing,17,White shark,Apr,Y,F,White shark,41.0,2017.0,17.0
42,Unprovoked,usa,Surfing,28,"Tiger shark, 12'",Apr,N,M,Tiger shark,42.0,2017.0,28.0
43,Unprovoked,usa,Swimming,17,"Bull shark, 5' to 7'",Apr,N,F,Bull shark,43.0,2017.0,17.0
44,Unprovoked,australia,Scuba Diving,55,"Bull shark, 4 m",Jan,N,M,Bull shark,44.0,2017.0,55.0
45,Unprovoked,indonesia,Surfing,48,"Bull shark, 1 m",Jan,N,M,Bull shark,45.0,2017.0,48.0
46,Invalid,australia,Wading,20,Shark involvement not confirmed,Jan,,M,Unspecified,46.0,2017.0,20.0
47,Unprovoked,south africa,Surf skiing ,55,"White shark, 4 m",Dec,N,M,White shark,47.0,2016.0,55.0
48,Invalid,usa,Surfing,19,Shark involvement not confirmed,Dec,,M,Unspecified,48.0,2016.0,19.0
49,Provoked,australia,Surf fishing,20,"Wobbegong shark, 2m",Dec,N,M,Unspecified,49.0,2016.0,20.0
50,Unprovoked,australia,Surfing,65,White shark,Dec,N,M,White shark,50.0,2016.0,65.0
51,Provoked,australia,Fishing,73,"Broadnose sevengill shark, 1.5 m",Nov,N,M,Unspecified,51.0,2016.0,25.0
52,Unprovoked,usa,Floating,58,Tiger shark,Nov,N,F,Tiger shark,52.0,2016.0,58.0
53,Unprovoked,usa,Surfing,36, 6' to 8' shark,Oct,N,M,Unspecified,53.0,2016.0,36.0
54,Unprovoked,australia,Surfing,17,"White shark, 3.5 m",Sep,N,M,White shark,54.0,2016.0,17.0
55,Unprovoked,usa,Wading,60s,3' to 4' shark,Sep,N,M,Unspecified,55.0,2016.0,60.0
56,Unprovoked,usa,Swimming,51,"Tiger shark, 10'",Sep,N,F,Tiger shark,56.0,2016.0,51.0
57,Unprovoked,usa,Surfing,25,"Bull shark, 6'",Aug,N,M,Bull shark,57.0,2016.0,25.0
58,Unprovoked,usa,SUP Foil boarding,21,"Tiger shark, 10' ",Aug,N,M,Tiger shark,58.0,2016.0,21.0
59,Unprovoked,spain,Swimming,40,Blue shark,Jul,N,M,Unspecified,59.0,2016.0,40.0
60,Provoked,australia,Fishing,31,"reef shark, 1m",Jul,N,M,Unspecified,60.0,2016.0,31.0
61,Unprovoked,usa,Kite surfing,61,"White shark, 10' to 12'",Jul,N,M,White shark,61.0,2016.0,61.0
62,Provoked,usa,Fishing,59,dogfish shark,Jul,N,M,Unspecified,62.0,2016.0,59.0
63,Provoked,australia,Fishing,34,Tawny nurse shark,Jul,N,M,Unspecified,63.0,2016.0,34.0
64,Unprovoked,usa,Floating,42,3' to 5' shark,Jun,N,M,Unspecified,64.0,2016.0,42.0
65,Unprovoked,usa,Floating in tube,6,3' to 4' shark,Jun,N,F,Unspecified,65.0,2016.0,6.0
66,Unprovoked,usa,Standing,19,3' shark,Jun,N,M,Unspecified,66.0,2016.0,19.0
67,Invalid,usa,Surfing,27,Said to involve an 8' shark but more likely damage caused by debris,Jun,,M,Unspecified,67.0,2016.0,27.0
68,Unprovoked,australia,Diving,60,3+ m shark,Jun,Y,F,Unspecified,68.0,2016.0,60.0
69,Unprovoked,egypt,Swimming,23,Mako shark,Jun,N,M,Unspecified,69.0,2016.0,23.0
70,Unprovoked,australia,Surfing,29,White shark,May,Y,M,White shark,70.0,2016.0,29.0
71,Unprovoked,usa,Swimming,13,5' shark,May,N,M,Unspecified,71.0,2016.0,13.0
72,Unprovoked,usa,Swimming,22,"Bull shark, 4' to 5'",May,N,F,Bull shark,72.0,2016.0,22.0
73,Unprovoked,usa,Swimming,48,"Blacktip shark, 4'",May,N,M,Unspecified,73.0,2016.0,48.0
74,Provoked,usa,Teasing a shark,23,"Nurse shark, 2'",May,N,F,Unspecified,74.0,2016.0,23.0
75,Provoked,new zealand,Fishing,39,"Mako shark, 1.5 m [5'] ",May,N,M,Unspecified,75.0,2016.0,39.0
76,Unprovoked,indonesia,Surfing,24,"Bull shark, 6'",Apr,N,M,Bull shark,76.0,2016.0,24.0
77,Unprovoked,australia,Swimming,12,Wobbegong shark,Apr,N,M,Unspecified,77.0,2016.0,12.0
78,Provoked,french polynesia,Spearfishing,22,"Grey reef shark, 2 m",Apr,,M,Grey shark,78.0,2016.0,22.0
79,Provoked,french polynesia,Spearfishing,26,"Grey reef shark, 2 m",Apr,N,M,Grey shark,79.0,2016.0,26.0
80,Unprovoked,new caledonia,Walking,69,"Tiger shark, 2.5 m",Apr,Y,F,Tiger shark,80.0,2016.0,25.0
81,Unprovoked,usa,Paddle boarding,48,"Tiger shark, 14'",Jan,N,M,Tiger shark,81.0,2016.0,48.0
82,Unprovoked,australia,Wading,11,Blacktip shark,Jan,N,M,Unspecified,82.0,2016.0,11.0
83,Unprovoked,australia,Spearfishing,31,3 m shark,Jan,N,M,Unspecified,83.0,2016.0,31.0
84,Unprovoked,usa,Paddle boarding,71,9' shark,Dec,N,M,Unspecified,84.0,2015.0,25.0
85,Unprovoked,australia,Surfing,43,"Bronze whaler shark, 6'",Dec,N,M,Unspecified,85.0,2015.0,43.0
86,Unprovoked,ecuador,Snorkeling,55,Galapagos shark,Nov,N,M,Unspecified,86.0,2015.0,55.0
87,Unprovoked,australia,Surfing,20,"Bull shark, 2.8 to 3.1 m",Nov,N,M,Bull shark,87.0,2015.0,20.0
88,Invalid,usa,Surfing,9,Shark involvement not confirmed,Nov,,F,Unspecified,88.0,2015.0,9.0
89,Unprovoked,usa,Wading,28,3' to 5' shark,Nov,N,F,Unspecified,89.0,2015.0,28.0
90,Unprovoked,south africa,Surfing,42,"White shark, 3 to 3.5m ",Oct,N,M,White shark,90.0,2015.0,42.0
91,Unprovoked,usa,Surfing,21,5' shark,Oct,N,M,Unspecified,91.0,2015.0,21.0
92,Unprovoked,usa,Surfing,21,"Spinner shark, 5'",Oct,N,M,Unspecified,92.0,2015.0,21.0
93,Invalid,usa,Surfing,32,No shark involvement,Oct,,M,Unspecified,93.0,2015.0,32.0
94,Unprovoked,usa,Swimming,44,"Tiger shark, 7'",Oct,N,M,Tiger shark,94.0,2015.0,44.0
95,Unprovoked,usa,Surfing,25,"Tiger shark, 13' ",Oct,N,M,Tiger shark,95.0,2015.0,25.0
96,Unprovoked,usa,Wading,13,4' to 5' shark,Oct,N,M,Unspecified,96.0,2015.0,13.0
97,Unprovoked,usa,Surfing,14,"Blacktip shark, 4' to 5'",Oct,N,M,Unspecified,97.0,2015.0,14.0
98,Unprovoked,usa,Surfing,22,"Blacktip shark, 5' to 6'",Sep,N,M,Unspecified,98.0,2015.0,22.0
99,Unprovoked,usa,Surfing,14,juvenile shark,Sep,N,M,Unspecified,99.0,2015.0,14.0
100,Unprovoked,usa,Spearfishing,27,"Tiger shark, 13'",Sep,N,M,Tiger shark,100.0,2015.0,27.0
101,Unprovoked,usa,Wading,12,4' shark,Sep,N,M,Unspecified,101.0,2015.0,12.0
102,Unprovoked,australia,Surfing,42,6' shark,Sep,N,M,Unspecified,102.0,2015.0,42.0
103,Unprovoked,usa,Stand-Up Paddleboarding,50,"White shark, 11' to 12'",Sep,N,F,White shark,103.0,2015.0,50.0
104,Provoked,usa,Kayak Fishing,29,Hammerhead shark.,Sep,N,M,Unspecified,104.0,2015.0,29.0
105,Unprovoked,australia,Surf-skiing,62,"White shark, 2.5 m",Sep,N,M,White shark,105.0,2015.0,62.0
106,Unprovoked,thailand,Wading,37,small shark,Sep,N,F,Unspecified,106.0,2015.0,37.0
107,Unprovoked,usa,Surfing,54,"White shark, 11' to 12'",Aug,N,F,White shark,107.0,2015.0,54.0
108,Unprovoked,usa,Surfing,21,"White shark, 10' to 12' ",Aug,N,M,White shark,108.0,2015.0,21.0
